Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
SOUTH CAROLINA,2014,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,1,,-,2,,61,,,-,1,,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,1,,-,1,,19,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
E.S. CENTRAL,2014,1,,-,1,,9,,,-,1,,,-,0,,4,,,-,,-,1,,0,,2,,1,,1,,,
ALABAMA,2014,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,1,,-,0,,9,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
TENNESSEE,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,1,,0,,1,,1,,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
W.S. CENTRAL,2014,1,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,,-,1,,3,,,-,,-,,
ARKANSAS,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
LOUISIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TEXAS,2014,1,,-,1,,5,,,-,,-,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
MOUNTAIN,2014,1,,-,2,,9,,,-,,-,,-,1,,6,,,-,2,,,-,0,,4,,,-,,-,,
ARIZONA,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
COLORADO,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
IDAHO,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MONTANA,2014,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEVADA,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW MEXICO,2014,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WYOMING,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
PACIFIC,2014,1,,-,2,,8,,,-,3,,,-,2,,8,,,-,2,,3,,2,,8,,3,,6,,,
ALASKA,2014,1,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
CALIFORNIA,2014,1,,-,1,,5,,,-,2,,,-,1,,7,,,-,2,,1,,2,,7,,1,,5,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,1,,-,1,,3,,,-,,-,,-,0,,1,,,-,,-,2,,0,,1,,2,,1,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,2,16,,337,,2162,,47,,443,,8,,24,,49,,17,,28,,4,,9,,21,,15,,28,,,
NEW ENGLAND,2014,2,,-,116,,878,,,-,119,,,-,2,,8,,1,,3,,,-,0,,3,,,-,2,,,
CONNECTICUT,2014,2,,-,24,,245,,,-,44,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,2,,-,14,,99,,,-,4,,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,2,,-,37,,437,,,-,57,,,-,1,,4,,,-,2,,,-,0,,3,,,-,2,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,2,,-,6,,91,,,-,9,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,2,,-,9,,54,,,-,,-,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,2,,-,8,,92,,,-,5,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,2,14,,172,,1004,,40,,223,,,-,8,,21,,1,,4,,,-,1,,7,,,-,2,,,
NEW JERSEY,2014,2,,-,48,,224,,,-,102,,,-,1,,5,,,-,,-,,-,0,,2,,,-,1,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,2,4,,46,,257,,4,,5,,,-,1,,5,,,-,1,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,2,,-,1,,39,,,-,,-,,-,4,,13,,1,,3,,,-,0,,2,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,2,10,,80,,540,,36,,116,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,2,1,,16,,217,,2,,10,,2,,2,,8,,3,,3,,,-,0,,4,,,-,2,,,
ILLINOIS,2014,2,,-,2,,30,,,-,1,,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,2,,-,1,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,2,1,,2,,15,,2,,,-,1,,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,2,,-,1,,7,,,-,1,,1,,0,,3,,2,,1,,,-,0,,2,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
WISCONSIN,2014,2,,-,12,,177,,,-,8,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
W.N. CENTRAL,2014,2,,-,3,,31,,,-,,-,,-,0,,3,,3,,3,,,-,0,,3,,1,,4,,,
IOWA,2014,2,,-,2,,27,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
KANSAS,2014,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,1,,1,,,-,0,,2,,1,,1,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEBRASKA,2014,2,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH DAKOTA,2014,2,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
S. ATLANTIC,2014,2,1,,36,,116,,4,,86,,,-,5,,16,,3,,6,,1,,2,,6,,6,,6,,,
DELAWARE,2014,2,,-,7,,23,,,-,13,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
DIST. OF COL.,2014,2,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,2,,-,2,,14,,1,,2,,,-,1,,3,,1,,1,,,-,1,,3,,3,,3,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,2,,-,0,,4,,,-,,-,,-,1,,5,,,-,,-,,-,0,,2,,,-,1,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MARYLAND,2014,2,,-,19,,68,,1,,70,,,-,2,,10,,2,,4,,,-,0,,1,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,2,,-,0,,32,,,-,,-,,-,0,,6,,,-,,-,,-,0,,2,,2,,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,2,,-,2,,80,,,-,1,,,-,0,,4,,,-,,-,1,,0,,1,,1,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,2,1,,2,,19,,2,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
E.S. CENTRAL,2014,2,,-,1,,9,,1,,1,,1,,0,,4,,1,,3,,,-,0,,2,,1,,2,,,
ALABAMA,2014,2,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,2,,-,0,,9,,1,,,-,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
TENNESSEE,2014,2,,-,0,,3,,,-,,-,1,,0,,3,,1,,1,,,-,0,,1,,1,,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
W.S. CENTRAL,2014,2,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,,-,1,,3,,1,,,-,,
ARKANSAS,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
LOUISIANA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TEXAS,2014,2,,-,1,,5,,,-,,-,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
MOUNTAIN,2014,2,,-,2,,9,,,-,,-,,-,1,,6,,,-,3,,,-,0,,4,,,-,,-,,
ARIZONA,2014,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,2,,,-,0,,3,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
COLORADO,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
IDAHO,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MONTANA,2014,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEVADA,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW MEXICO,2014,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WYOMING,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
PACIFIC,2014,2,,-,2,,8,,,-,4,,5,,2,,8,,5,,2,,3,,2,,8,,6,,10,,,
ALASKA,2014,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
CALIFORNIA,2014,2,,-,1,,6,,,-,2,,5,,1,,7,,5,,2,,,-,2,,7,,1,,9,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,2,,-,1,,3,,,-,1,,,-,0,,1,,,-,,-,3,,0,,2,,5,,1,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,3,21,,341,,2168,,105,,658,,8,,24,,48,,30,,52,,2,,9,,21,,18,,47,,,
NEW ENGLAND,2014,3,,-,118,,878,,3,,206,,,-,2,,8,,1,,6,,,-,0,,3,,,-,3,,,
CONNECTICUT,2014,3,,-,29,,246,,1,,83,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,3,,-,15,,99,,,-,11,,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,3,,-,36,,437,,2,,84,,,-,1,,4,,,-,4,,,-,0,,3,,,-,2,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,3,,-,6,,91,,,-,20,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,3,,-,9,,54,,,-,1,,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,3,,-,8,,92,,,-,7,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,3,17,,171,,1004,,80,,310,,3,,8,,21,,9,,9,,,-,1,,7,,,-,4,,,
NEW JERSEY,2014,3,,-,46,,224,,3,,138,,,-,1,,5,,,-,1,,,-,0,,2,,,-,2,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,3,10,,46,,257,,14,,9,,1,,1,,5,,1,,1,,,-,0,,3,,,-,1,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,3,,-,1,,39,,,-,1,,,-,4,,13,,6,,7,,,-,0,,2,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,3,7,,77,,540,,63,,162,,2,,1,,5,,2,,,-,,-,0,,3,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,3,,-,16,,219,,2,,17,,1,,2,,8,,4,,8,,,-,0,,4,,,-,3,,,
ILLINOIS,2014,3,,-,2,,30,,,-,1,,,-,1,,5,,,-,4,,,-,0,,2,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,3,,-,1,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,3,,-,2,,15,,2,,2,,,-,0,,2,,1,,2,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,3,,-,1,,7,,,-,1,,1,,0,,3,,3,,1,,,-,0,,2,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
